step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
1,5.0973,,1.000000e-06,0.0700,16.5991,43.3986
111,4.8513,,1.110000e-04,0.0703,0.3317,0.8754
112,4.8575,,1.120000e-04,0.0703,0.3505,1.3587
2,5.2439,,2.000000e-06,0.0700,20.9373,2.5942
113,4.8486,,1.130000e-04,0.0703,0.3711,0.9839
3,5.1129,,3.000000e-06,0.0700,25.8356,0.8990
114,4.8399,,1.140000e-04,0.0703,0.3707,1.1559
4,5.2189,,4.000000e-06,0.0700,20.7550,1.0715
115,4.8529,,1.150000e-04,0.0703,0.3675,1.0649
5,5.1066,,5.000000e-06,0.0700,16.8266,1.4669
116,4.8511,,1.160000e-04,0.0703,0.3445,1.3233
6,5.0670,,6.000000e-06,0.0700,11.5184,0.8546
117,4.8652,,1.170000e-04,0.0703,0.4193,0.9630
7,5.0943,,7.000000e-06,0.0700,10.1174,0.9305
118,4.8478,,1.180000e-04,0.0703,0.3488,1.1579
8,5.1007,,8.000000e-06,0.0700,8.7893,1.1412
119,4.8588,,1.190000e-04,0.0703,0.3426,0.9001
9,5.0749,,9.000000e-06,0.0700,12.0829,0.8316
120,4.8557,,1.200000e-04,0.0703,0.4029,0.8623
10,5.0288,,1.000000e-05,0.0700,10.9002,1.0174
200,4.8001,4.8180,2.000000e-04,0.0705,1.1103,0.9318
121,4.8519,,1.210000e-04,0.0703,0.3162,1.3390
11,5.1379,,1.100000e-05,0.0700,12.7760,1.8288
122,4.8499,,1.220000e-04,0.0703,0.3750,1.5634
12,5.0345,,1.200000e-05,0.0700,10.2282,1.0598
123,4.8483,,1.230000e-04,0.0703,0.3356,1.2965
13,5.0039,,1.300000e-05,0.0700,10.3081,1.0401
124,4.8448,,1.240000e-04,0.0703,0.3390,1.0825
14,5.0700,,1.400000e-05,0.0700,7.0176,1.0635
125,4.8582,,1.250000e-04,0.0703,0.3426,1.4100
15,4.9742,,1.500000e-05,0.0700,7.4119,1.3302
126,4.8566,,1.260000e-04,0.0703,0.3579,0.9139
16,4.9822,,1.600000e-05,0.0700,5.7546,0.9024
127,4.8538,,1.270000e-04,0.0703,0.3316,1.2800
17,4.9448,,1.700000e-05,0.0700,5.4611,1.1378
18,4.9840,,1.800000e-05,0.0700,6.5852,1.0048
128,4.8534,,1.280000e-04,0.0703,0.3544,1.0408
19,5.0018,,1.900000e-05,0.0700,7.3085,0.9723
129,4.8530,,1.290000e-04,0.0703,0.3303,1.0793
20,4.9781,,2.000000e-05,0.0700,7.5703,1.1113
130,4.8651,,1.300000e-04,0.0703,0.4215,1.1306
